Filenames,Download link
Keyframes_L21.zip,https://aic-data.ledo.io.vn/Keyframes_L21.zip
Keyframes_L22.zip,https://aic-data.ledo.io.vn/Keyframes_L22.zip
Keyframes_L23.zip,https://aic-data.ledo.io.vn/Keyframes_L23.zip
Keyframes_L24.zip,https://aic-data.ledo.io.vn/Keyframes_L24.zip
Keyframes_L25.zip,https://aic-data.ledo.io.vn/Keyframes_L25.zip
Keyframes_L26_a.zip,https://aic-data.ledo.io.vn/Keyframes_L26_a.zip
Keyframes_L26_b.zip,https://aic-data.ledo.io.vn/Keyframes_L26_b.zip
Keyframes_L26_c.zip,https://aic-data.ledo.io.vn/Keyframes_L26_c.zip
Keyframes_L26_d.zip,https://aic-data.ledo.io.vn/Keyframes_L26_d.zip
Keyframes_L26_e.zip,https://aic-data.ledo.io.vn/Keyframes_L26_e.zip
Keyframes_L27.zip,https://aic-data.ledo.io.vn/Keyframes_L27.zip
Keyframes_L28.zip,https://aic-data.ledo.io.vn/Keyframes_L28.zip
Keyframes_L29.zip,https://aic-data.ledo.io.vn/Keyframes_L29.zip
Keyframes_L30.zip,https://aic-data.ledo.io.vn/Keyframes_L30.zip
Videos_L21_a.zip,https://aic-data.ledo.io.vn/Videos_L21_a.zip
Videos_L22_a.zip,https://aic-data.ledo.io.vn/Videos_L22_a.zip
Videos_L23_a.zip,https://aic-data.ledo.io.vn/Videos_L23_a.zip
Videos_L24_a.zip,https://aic-data.ledo.io.vn/Videos_L24_a.zip
Videos_L25_a.zip,https://aic-data.ledo.io.vn/Videos_L25_a.zip
Videos_L25_a1.zip,https://aic-data.ledo.io.vn/Videos_L25_a1.zip
Videos_L25_b.zip,https://aic-data.ledo.io.vn/Videos_L25_b.zip
Videos_L26_a.zip,https://aic-data.ledo.io.vn/Videos_L26_a.zip
Videos_L26_b.zip,https://aic-data.ledo.io.vn/Videos_L26_b.zip
Videos_L26_c.zip,https://aic-data.ledo.io.vn/Videos_L26_c.zip
Videos_L26_d.zip,https://aic-data.ledo.io.vn/Videos_L26_d.zip
Videos_L26_e.zip,https://aic-data.ledo.io.vn/Videos_L26_e.zip
Videos_L27_a.zip,https://aic-data.ledo.io.vn/Videos_L27_a.zip
Videos_L28_a.zip,https://aic-data.ledo.io.vn/Videos_L28_a.zip
Videos_L29_a.zip,https://aic-data.ledo.io.vn/Videos_L29_a.zip
Videos_L30_a.zip,https://aic-data.ledo.io.vn/Videos_L30_a.zip
clip-features-32-aic25-b1.zip,https://aic-data.ledo.io.vn/clip-features-32-aic25-b1.zip
map-keyframes-aic25-b1.zip,https://aic-data.ledo.io.vn/map-keyframes-aic25-b1.zip
media-info-aic25-b1.zip,https://aic-data.ledo.io.vn/media-info-aic25-b1.zip
objects-aic25-b1.zip,https://aic-data.ledo.io.vn/objects-aic25-b1.zip
